PCA 1,PCA 2,Cluster
-0.44383574337496995,-0.8661501653552922,0
-0.4163653619566353,-1.004665280782238,0
-0.3833131472318455,-1.0982551575077402,0
0.010579940101042344,-1.3696071407986845,0
0.32233900310294383,-1.7165771511830734,2
0.5782035837917147,-1.777818370283837,2
0.3311332939449531,-1.5265426945013894,2
0.3207880022204469,-0.5989684623982922,2
-0.04555207460307259,-0.7563068639819558,0
-0.8101156307661194,-0.4685841210129196,0
-1.7518853253561777,-0.28719767707963495,0
-2.588888025749105,-0.09079545673788181,0
-2.6092682379144603,-0.13206605472093713,0
-2.607526637506905,-0.1478882148209335,0
-2.667407466285801,-0.24613617335314553,0
-2.9636205952219283,-0.5412035588831732,0
-3.145192976927149,-0.5846129414196519,0
-3.3285345973946208,-0.5238698576781634,0
-3.3599011296452543,-0.6947806076587545,0
-3.237436874779339,-0.5271809025850944,0
-3.1309677162168965,-0.4030705327857074,0
-3.0201188789908855,-0.3519901980674987,0
-2.7931389794509296,0.04993144705251349,0
-2.563463677764305,0.21582150128976443,0
-2.2678055023805817,0.1321643176982306,0
-2.0427900150064144,-0.0177845488351857,0
-1.6628229709291462,-0.09122779005296638,0
-1.3495009802228504,-0.30384385840486755,0
-1.014617336844904,-0.20953131182195772,0
-0.7264712441314067,-0.13067708084206217,0
-0.7985539088040562,0.004459812801678894,0
-0.8926940254314721,0.222065731784905,0
-0.9213678022266133,0.48868457381111446,1
-1.5476521071356595,0.2996554767933263,0
-2.2618541644182653,0.23718944087421828,0
-2.8507349232952635,0.059096345223559006,0
-3.4587938934243923,-0.1943380829004016,0
-3.9914893180704927,-0.3266551480678256,0
-4.612152555048767,-0.624553982247928,0
-4.672685164104183,-0.7291538125423116,0
-4.756087239414828,-0.877255417200883,0
-4.8658002124841,-1.0144854798479748,0
-5.0319283799331975,-0.9336847536430353,0
-5.240409352613788,-0.8414679585970872,0
-5.457583246520097,-0.7926603748162033,0
-5.073759768472971,-0.6386055977764062,0
-4.860586107961144,-0.32906155016553706,0
-4.136505282147133,-0.36571999949596273,0
-3.396919516500451,-0.31484812714790195,0
-2.6705348888597373,-0.3416692656532945,0
